date,article_count,moving_average,delta,is_peak
2023-02-25,912,1392.5714285714287,-480.57142857142867,False
2023-02-26,642,1398.7142857142858,-756.7142857142858,False
2023-02-27,1538,1393.7142857142858,144.28571428571422,False
2023-02-28,1577,1380.2857142857142,196.71428571428578,False
2023-03-01,1542,1366.0,176.0,False
2023-03-02,1606,1341.857142857143,264.1428571428571,False
2023-03-03,1384,1338.7142857142858,45.28571428571422,False
2023-03-04,661,1314.4285714285713,-653.4285714285713,False
2023-03-05,716,1278.5714285714287,-562.5714285714287,False
2023-03-06,1486,1289.142857142857,196.8571428571429,False
2023-03-07,1556,1281.7142857142858,274.2857142857142,False
2023-03-08,1635,1278.7142857142858,356.2857142857142,False
2023-03-09,1657,1292.0,365.0,False
2023-03-10,1526,1299.2857142857142,226.71428571428578,False
2023-03-11,801,1319.5714285714287,-518.5714285714287,False
2023-03-12,714,1339.5714285714287,-625.5714285714287,False
2023-03-13,1597,1339.2857142857142,257.7142857142858,False
2023-03-14,1697,1355.142857142857,341.8571428571429,False
2023-03-15,1625,1375.2857142857142,249.71428571428578,False
2023-03-16,1683,1373.857142857143,309.1428571428571,False
2023-03-17,1510,1377.5714285714287,132.42857142857133,False
2023-03-18,824,1375.2857142857142,-551.2857142857142,False
2023-03-19,780,1378.5714285714287,-598.5714285714287,False
2023-03-20,1536,1388.0,148.0,False
2023-03-21,1633,1379.2857142857142,253.71428571428578,False
2023-03-22,1597,1370.142857142857,226.8571428571429,False
2023-03-23,1593,1366.142857142857,226.8571428571429,False
2023-03-24,1696,1353.2857142857142,342.7142857142858,False
2023-03-25,738,1379.857142857143,-641.8571428571429,False
2023-03-26,717,1367.5714285714287,-650.5714285714287,False
2023-03-27,1538,1358.5714285714287,179.42857142857133,False
2023-03-28,1656,1358.857142857143,297.1428571428571,False
2023-03-29,1535,1362.142857142857,172.8571428571429,False
2023-03-30,1615,1353.2857142857142,261.7142857142858,False
2023-03-31,1488,1356.4285714285713,131.57142857142867,False
2023-04-01,725,1326.7142857142858,-601.7142857142858,False
2023-04-02,705,1324.857142857143,-619.8571428571429,False
2023-04-03,1511,1323.142857142857,187.8571428571429,False
2023-04-04,1643,1319.2857142857142,323.7142857142858,False
2023-04-05,1553,1317.4285714285713,235.57142857142867,False
2023-04-06,1525,1320.0,205.0,False
2023-04-07,828,1307.142857142857,-479.1428571428571,False
2023-04-08,704,1212.857142857143,-508.8571428571429,False
2023-04-09,675,1209.857142857143,-534.8571428571429,False
2023-04-10,1389,1205.5714285714287,183.42857142857133,False
2023-04-11,1560,1188.142857142857,371.8571428571429,False
2023-04-12,1534,1176.2857142857142,357.7142857142858,False
2023-04-13,1654,1173.5714285714287,480.42857142857133,False
2023-04-14,1400,1192.0,208.0,False
2023-04-15,797,1273.7142857142858,-476.7142857142858,False
2023-04-16,684,1287.0,-603.0,False
2023-04-17,1480,1288.2857142857142,191.71428571428578,False
2023-04-18,1550,1301.2857142857142,248.71428571428578,False
2023-04-19,1654,1299.857142857143,354.1428571428571,False
2023-04-20,1521,1317.0,204.0,False
2023-04-21,1466,1298.0,168.0,False
2023-04-22,742,1307.4285714285713,-565.4285714285713,False
2023-04-23,650,1299.5714285714287,-649.5714285714287,False
2023-04-24,1503,1294.7142857142858,208.28571428571422,False
2023-04-25,1531,1298.0,233.0,False
2023-04-26,1728,1295.2857142857142,432.7142857142858,False
