region_id,region_name,term,regional_count,global_count,relative_ratio
11,Biobio,nublense,512,12342,1.0861488206398742
11,Biobio,bandera,600,14464,1.086094847363821
11,Biobio,entregaron,532,12826,1.0859887161556998
11,Biobio,esenciales,688,16588,1.0859237400653055
11,Biobio,rayos,204,4919,1.08582106049439
11,Biobio,recibimos,204,4919,1.08582106049439
11,Biobio,instruccion,422,10176,1.0857760773876557
11,Biobio,formar,657,15844,1.0856890356056543
11,Biobio,resolver,1351,32581,1.0856650452429937
11,Biobio,conocidos,599,14449,1.0854103222241347
11,Biobio,prestar,341,8226,1.0853519475735827
11,Biobio,valorar,257,6200,1.0852913707455563
11,Biobio,fiel,334,8058,1.0852358197522716
11,Biobio,alarma,305,7361,1.0848456145094516
11,Biobio,representante,1534,37027,1.0847052685906073
11,Biobio,publico,13410,323692,1.084680238452731
11,Biobio,cartas,590,14243,1.0845646709072856
11,Biobio,desconoce,459,11081,1.084522700323688
11,Biobio,gary,375,9055,1.0842956841710594
11,Biobio,unir,212,5120,1.0841036734769873
11,Biobio,recepcion,404,9758,1.083990478307919
11,Biobio,emplazo,207,5001,1.0837232905285457
11,Biobio,juveniles,235,5679,1.0834301314737107
11,Biobio,dispuso,382,9233,1.0832418829573736
11,Biobio,mejores,3539,85567,1.0828771082302877
11,Biobio,consultora,286,6917,1.082562984788518
11,Biobio,estuviera,360,8707,1.0825273370118507
11,Biobio,isla,1565,37855,1.082420496636421
11,Biobio,vigente,1523,36845,1.082246670894634
11,Biobio,hace,14895,360362,1.0821972725456912
11,Biobio,condicion,1488,36006,1.082014224385668
11,Biobio,cinco,6071,146955,1.081635124364069
11,Biobio,realizaran,525,12709,1.0815655353085625
11,Biobio,show,2545,61630,1.0811863025292858
11,Biobio,mantenia,626,15161,1.0810639905064763
11,Biobio,pasando,1581,38292,1.081007571383899
11,Biobio,corresponden,683,16543,1.0809642971609965
11,Biobio,adelantar,272,6592,1.0803304604716635
11,Biobio,vecino,724,17554,1.079859835509827
11,Biobio,ejemplares,219,5310,1.079827814195605
11,Biobio,exsubsecretario,372,9021,1.0796753176818081
11,Biobio,verano,1434,34776,1.079628747835462
11,Biobio,retorno,1095,26560,1.0794212525185736
11,Biobio,doctor,792,19211,1.0793943132266308
11,Biobio,calle,3415,82838,1.0793592534787397
11,Biobio,problemas,5077,123160,1.079300552174899
11,Biobio,sector,9797,237669,1.0792585186445027
11,Biobio,tour,584,14169,1.0791419189081632
11,Biobio,nacion,2135,51809,1.0789407241758868
11,Biobio,centro,9347,226832,1.0788792408633598
11,Biobio,perdidas,790,19180,1.0784087538315559
11,Biobio,complicaciones,534,12966,1.0783013671387145
11,Biobio,realice,293,7117,1.0778927990668352
11,Biobio,visibilizar,303,7360,1.0778783037359383
11,Biobio,acompanados,220,5345,1.0776553451510658
11,Biobio,impecable,208,5057,1.0768998027263277
11,Biobio,enfocada,281,6833,1.0767126494238637
11,Biobio,tecnica,1603,38989,1.076456146744351
11,Biobio,pura,252,6130,1.0763288525862202
11,Biobio,propiedad,1513,36808,1.076221400906731
11,Biobio,with,429,10437,1.0761839847344323
11,Biobio,manos,2061,50143,1.0761494649551981
11,Biobio,intentaba,201,4891,1.075977799470569
11,Biobio,toma,2003,48754,1.0756614695600166
11,Biobio,sentir,951,23167,1.0747702446388587
11,Biobio,existio,220,5360,1.0746395186254563
11,Biobio,alguien,2535,61762,1.0746363550458544
11,Biobio,familiar,2656,64711,1.0746198924641852
11,Biobio,sufrido,704,17155,1.07445158982593
11,Biobio,contentos,503,12259,1.0742809043358572
11,Biobio,moral,564,13747,1.0741775892874146
11,Biobio,emociones,728,17749,1.073896448157904
11,Biobio,tematica,254,6194,1.0736616272620434
11,Biobio,quiza,279,6804,1.0736057143747344
11,Biobio,estrena,209,5097,1.0735853303591962
11,Biobio,genero,4456,108721,1.0730912655150415
11,Biobio,pesos,3885,94815,1.072800308737544
11,Biobio,estudios,2486,60673,1.0727797597631012
11,Biobio,infraccion,512,12497,1.0726773421090925
11,Biobio,arrojo,286,6981,1.0726383277155394
11,Biobio,vivieron,275,6713,1.0725584350946757
11,Biobio,examen,411,10034,1.07243910429591
11,Biobio,debian,346,8448,1.0723266753088554
11,Biobio,pertenecientes,269,6569,1.0721558861421607
11,Biobio,acoso,747,18243,1.072085098995589
11,Biobio,maltrato,534,13042,1.0720177523631784
11,Biobio,liderada,589,14386,1.0719638872013544
11,Biobio,retomar,508,12413,1.071499253888842
11,Biobio,cuyas,355,8677,1.0711830000107487
11,Biobio,programado,651,15913,1.0711094276009103
11,Biobio,imaginar,210,5134,1.0709479071473718
11,Biobio,apellido,239,5843,1.07094441596001
11,Biobio,energias,537,13132,1.0706519879441003
11,Biobio,golpes,622,15214,1.0704142667446792
11,Biobio,carpeta,290,7094,1.0703152906114062
11,Biobio,trataria,272,6655,1.0701034403349672
11,Biobio,levantado,201,4918,1.0700706419704256
11,Biobio,ataque,3432,83988,1.069879720786138
11,Biobio,memoria,1847,45202,1.0698284934325641
11,Biobio,supervivencia,214,5238,1.069678323999569
11,Biobio,tokio,270,6609,1.0696284070996578
11,Biobio,decidieron,549,13439,1.0695726931414042
11,Biobio,sonar,292,7148,1.0695552496509348
11,Biobio,investigador,496,12143,1.0694502776148223
11,Biobio,denuncias,1287,31514,1.0692516578669737
11,Biobio,sabia,935,22899,1.0690549034581376
11,Biobio,producir,566,13862,1.0690436858203476
11,Biobio,solucionar,355,8697,1.0687196609282819
11,Biobio,mediodia,412,10094,1.0686582226034225
11,Biobio,exigen,372,9115,1.068540980889478
11,Biobio,medida,5521,135304,1.0683462436538507
11,Biobio,trabajando,2841,69628,1.068297542011833
11,Biobio,oficina,1443,35366,1.068280508760111
11,Biobio,propia,2563,62825,1.068122405110195
11,Biobio,realizan,848,20789,1.067989957805027
11,Biobio,necesarias,932,22854,1.0677230180680208
11,Biobio,agradecemos,209,5125,1.0677198885543069
11,Biobio,varias,4034,98928,1.0676319961443073
11,Biobio,recibieron,724,17756,1.0675748790571922
11,Biobio,estadio,5038,123563,1.0675165953737205
11,Biobio,agradecido,257,6304,1.0673868176748809
11,Biobio,manana,5392,132280,1.0672363610432605
11,Biobio,funcionarios,3908,95883,1.067131297324732
11,Biobio,escolares,443,10872,1.0668397736411188
11,Biobio,saliendo,416,10211,1.066669729191468
11,Biobio,citada,218,5351,1.066661103891773
11,Biobio,alarmas,299,7340,1.066547113035609
11,Biobio,extremadamente,411,10093,1.0661700161007788
11,Biobio,especializado,581,14269,1.0660743899115854
11,Biobio,duran,654,16066,1.0657980020399997
11,Biobio,ilicito,484,11891,1.0656924736045228
11,Biobio,descartar,263,6462,1.065598770867402
11,Biobio,suyo,245,6020,1.0655516580028308
11,Biobio,existian,201,4939,1.065520837661582
11,Biobio,pasajeros,1390,34157,1.0654669839493969
11,Biobio,influyentes,209,5136,1.0654331053038988
11,Biobio,relacionado,562,13813,1.065254113300986
11,Biobio,alejado,246,6047,1.0651237155003848
11,Biobio,toda,6457,158784,1.0647041925640006
11,Biobio,seguir,5893,144917,1.0646871739833714
11,Biobio,cercano,1304,32069,1.0646260530647709
11,Biobio,obliga,493,12126,1.0644720717231928
11,Biobio,belleza,734,18056,1.06433766155723
11,Biobio,llevando,642,15793,1.0643275617887182
11,Biobio,teniamos,741,18230,1.0642323479020201
11,Biobio,organizadores,252,6201,1.0640051389055845
11,Biobio,antigua,489,12036,1.0637304616068712
11,Biobio,dejo,4822,118709,1.0635268914753364
11,Biobio,tomen,273,6721,1.0634906296507944
11,Biobio,emilia,553,13615,1.0634385551922487
11,Biobio,aviso,907,22334,1.0632752168703299
11,Biobio,joaquin,863,21251,1.0632523236372622
11,Biobio,certeza,483,11896,1.0630436345979823
11,Biobio,academica,631,15549,1.0625070288981675
11,Biobio,construccion,2822,69548,1.0623736247279292
11,Biobio,colaboracion,2180,53726,1.0623726997961653
11,Biobio,democrata,537,13238,1.0620790078321443
11,Biobio,gano,1544,38063,1.062060353746217
11,Biobio,sabe,1924,47436,1.0619447528687098
11,Biobio,vitales,232,5720,1.0619324016220022
11,Biobio,corte,5109,125964,1.0619262968179928
11,Biobio,llegaran,323,7964,1.0618818237785264
11,Biobio,destino,1613,39789,1.0613930978399393
11,Biobio,german,283,6982,1.0612348591264436
11,Biobio,clinicas,260,6415,1.0611617892414342
11,Biobio,orden,3217,79407,1.0607112824035996
11,Biobio,pequenas,761,18786,1.0606088699738905
11,Biobio,presentada,942,23259,1.060387940989053
11,Biobio,fiscal,6031,148979,1.0599104883424535
11,Biobio,mismo,12149,300159,1.0597271922115277
11,Biobio,francisca,678,16751,1.0597266871031847
11,Biobio,llamada,1329,32840,1.0595629128221296
11,Biobio,objetos,702,17350,1.0593575083894096
